,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,rape,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,kidnapping_abduction,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,dowry_deaths,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,assault_intnt_outrage_modesty,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,inslt_modesty_women,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,cruelty_husban_reltvs,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking,in_trafficking
year,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
lakshadweep,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madhya pradesh,2851.0,2891.0,2738.0,2875.0,2921.0,2900.0,3010.0,2937.0,2998.0,3135.0,3406.0,3425.0,4335.0,5076.0,668.0,639.0,608.0,584.0,604.0,617.0,701.0,736.0,841.0,1030.0,1088.0,1127.0,2873.0,5688.0,609.0,674.0,648.0,751.0,739.0,764.0,742.0,805.0,858.0,892.0,811.0,743.0,776.0,733.0,7063.0,7118.0,6848.0,6690.0,6426.0,6243.0,6772.0,6445.0,6307.0,6646.0,6665.0,6655.0,8252.0,9609.0,751.0,783.0,705.0,804.0,792.0,762.0,780.0,758.0,728.0,918.0,762.0,774.0,736.0,429.0,2562.0,3117.0,2938.0,3436.0,2989.0,2989.0,3294.0,3185.0,3983.0,3756.0,3732.0,3988.0,4988.0,6451.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,45.0,6.0,7.0,0.0
maharashtra,1302.0,1352.0,1268.0,1388.0,1545.0,1500.0,1451.0,1558.0,1483.0,1599.0,1701.0,1839.0,3063.0,3438.0,611.0,650.0,626.0,787.0,851.0,921.0,967.0,998.0,926.0,1124.0,1252.0,1140.0,1874.0,2457.0,308.0,303.0,368.0,314.0,341.0,387.0,436.0,390.0,341.0,393.0,339.0,329.0,320.0,279.0,2823.0,2686.0,2661.0,2831.0,3228.0,3479.0,3306.0,3619.0,3196.0,3661.0,3794.0,3935.0,8132.0,10001.0,1120.0,769.0,682.0,862.0,919.0,984.0,1039.0,1091.0,1099.0,1180.0,1071.0,1294.0,2632.0,1575.0,6090.0,5353.0,5452.0,5646.0,6233.0,6738.0,7356.0,7829.0,7681.0,7434.0,7136.0,7415.0,8542.0,7696.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
manipur,20.0,14.0,18.0,31.0,25.0,40.0,20.0,38.0,31.0,34.0,53.0,63.0,72.0,75.0,62.0,82.0,71.0,71.0,69.0,79.0,83.0,87.0,97.0,107.0,116.0,133.0,125.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,58.0,44.0,30.0,25.0,42.0,70.0,57.0,39.0,31.0,38.0,49.0,59.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,10.0,4.0,2.0,20.0,10.0,15.0,28.0,25.0,18.0,39.0,43.0,29.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meghalaya,26.0,38.0,40.0,54.0,63.0,74.0,82.0,88.0,112.0,149.0,130.0,164.0,183.0,118.0,11.0,10.0,10.0,18.0,19.0,25.0,22.0,25.0,26.0,37.0,37.0,24.0,33.0,38.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,25.0,23.0,13.0,34.0,44.0,57.0,45.0,54.0,72.0,48.0,74.0,43.0,98.0,105.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,54.0,4.0,0.0,4.0,5.0,3.0,13.0,19.0,32.0,24.0,24.0,21.0,16.0,23.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
mizoram,52.0,76.0,54.0,20.0,37.0,72.0,83.0,77.0,83.0,92.0,77.0,103.0,89.0,120.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,73.0,88.0,66.0,49.0,51.0,66.0,78.0,61.0,75.0,72.0,85.0,81.0,97.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,29.0,16.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,4.0,3.0,9.0,8.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nagaland,17.0,17.0,14.0,18.0,17.0,23.0,13.0,19.0,22.0,16.0,23.0,21.0,31.0,30.0,6.0,4.0,3.0,4.0,9.0,3.0,6.0,7.0,10.0,6.0,3.0,10.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,4.0,3.0,7.0,3.0,8.0,15.0,11.0,13.0,9.0,16.0,18.0,16.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odisha,790.0,691.0,725.0,770.0,799.0,985.0,939.0,1113.0,1023.0,1025.0,1112.0,1458.0,1832.0,1978.0,434.0,432.0,373.0,423.0,547.0,577.0,660.0,762.0,799.0,912.0,1008.0,1364.0,2067.0,2436.0,294.0,248.0,279.0,319.0,334.0,457.0,461.0,401.0,384.0,388.0,465.0,525.0,395.0,441.0,1655.0,1605.0,1669.0,1811.0,2238.0,2415.0,2775.0,2782.0,2697.0,2905.0,3207.0,4187.0,4618.0,5543.0,458.0,188.0,188.0,170.0,184.0,247.0,241.0,282.0,210.0,232.0,235.0,304.0,426.0,379.0,1266.0,1167.0,1289.0,1192.0,1671.0,694.0,728.0,1618.0,2047.0,2067.0,2320.0,2638.0,2792.0,3114.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
puducherry,9.0,6.0,2.0,4.0,6.0,9.0,9.0,8.0,1.0,3.0,7.0,13.0,17.0,10.0,3.0,6.0,13.0,8.0,3.0,13.0,14.0,9.0,13.0,14.0,9.0,16.0,25.0,7.0,1.0,5.0,1.0,6.0,4.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,35.0,59.0,56.0,50.0,60.0,56.0,89.0,65.0,53.0,46.0,35.0,9.0,12.0,32.0,27.0,26.0,27.0,30.0,26.0,39.0,32.0,21.0,16.0,22.0,16.0,2.0,8.0,8.0,3.0,9.0,4.0,2.0,6.0,19.0,17.0,12.0,10.0,7.0,10.0,6.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
punjab,298.0,299.0,380.0,390.0,398.0,442.0,519.0,517.0,511.0,546.0,479.0,680.0,888.0,981.0,324.0,354.0,295.0,311.0,329.0,418.0,545.0,514.0,513.0,576.0,517.0,689.0,987.0,1176.0,159.0,166.0,110.0,113.0,99.0,130.0,133.0,128.0,126.0,121.0,143.0,118.0,126.0,90.0,372.0,341.0,346.0,261.0,308.0,314.0,427.0,388.0,319.0,349.0,282.0,340.0,1045.0,1113.0,47.0,145.0,199.0,38.0,43.0,60.0,48.0,49.0,33.0,38.0,31.0,31.0,67.0,35.0,1128.0,944.0,987.0,801.0,729.0,801.0,971.0,984.0,1061.0,1163.0,1136.0,1293.0,1741.0,1681.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rajasthan,1049.0,1051.0,1050.0,1038.0,993.0,1085.0,1238.0,1355.0,1519.0,1571.0,1800.0,2049.0,3285.0,3759.0,2165.0,2019.0,1750.0,1881.0,1549.0,1553.0,1694.0,1863.0,2310.0,2477.0,2713.0,2697.0,4047.0,4421.0,376.0,399.0,389.0,379.0,361.0,394.0,439.0,439.0,436.0,462.0,514.0,478.0,453.0,408.0,2878.0,2730.0,2715.0,2825.0,2503.0,2582.0,2477.0,2520.0,2485.0,2339.0,2447.0,2352.0,4829.0,5999.0,56.0,44.0,33.0,41.0,28.0,31.0,28.0,19.0,24.0,23.0,9.0,18.0,25.0,18.0,5532.0,5691.0,5733.0,6781.0,5997.0,7038.0,8170.0,8113.0,10371.0,11145.0,12218.0,13312.0,15094.0,15905.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
sikkim,8.0,6.0,10.0,3.0,18.0,20.0,24.0,20.0,18.0,18.0,16.0,34.0,43.0,47.0,2.0,2.0,0.0,4.0,2.0,7.0,9.0,4.0,6.0,6.0,10.0,10.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,25.0,40.0,38.0,14.0,13.0,19.0,10.0,11.0,24.0,19.0,29.0,34.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,4.0,6.0,7.0,5.0,6.0,3.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tamil nadu,423.0,534.0,557.0,618.0,571.0,457.0,523.0,573.0,596.0,686.0,677.0,737.0,923.0,455.0,607.0,714.0,632.0,692.0,783.0,718.0,1097.0,1160.0,1133.0,1464.0,1743.0,1693.0,1516.0,1502.0,191.0,243.0,220.0,225.0,215.0,187.0,208.0,207.0,194.0,165.0,152.0,110.0,118.0,95.0,1773.0,1877.0,2022.0,1861.0,1764.0,1179.0,1540.0,1705.0,1242.0,1405.0,1467.0,1494.0,1271.0,1102.0,1012.0,1718.0,881.0,1081.0,665.0,852.0,875.0,974.0,501.0,638.0,464.0,382.0,313.0,229.0,815.0,1052.0,1555.0,1437.0,1650.0,1248.0,1976.0,1648.0,1460.0,1570.0,1812.0,1965.0,2471.0,2103.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
telangana,,,,,,,,,,,,,,979.0,,,,,,,,,,,,,,711.0,,,,,,,,,,,,,,289.0,,,,,,,,,,,,,,3188.0,,,,,,,,,,,,,,1142.0,,,,,,,,,,,,,,6369.0,,,,,,,,,,,,,,0.0
tripura,102.0,108.0,114.0,160.0,162.0,189.0,157.0,204.0,190.0,238.0,205.0,229.0,233.0,239.0,35.0,48.0,29.0,54.0,43.0,62.0,81.0,110.0,92.0,91.0,116.0,114.0,124.0,102.0,16.0,16.0,20.0,20.0,34.0,35.0,36.0,16.0,29.0,25.0,30.0,37.0,29.0,33.0,58.0,128.0,127.0,134.0,161.0,207.0,244.0,346.0,384.0,376.0,294.0,314.0,407.0,492.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,5.0,9.0,9.0,7.0,7.0,11.0,227.0,236.0,247.0,302.0,439.0,471.0,545.0,735.0,815.0,937.0,702.0,858.0,827.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uttar pradesh,1958.0,1415.0,911.0,1397.0,1217.0,1314.0,1648.0,1871.0,1759.0,1563.0,2042.0,1963.0,3050.0,3467.0,2879.0,2298.0,1499.0,2324.0,2256.0,2551.0,3363.0,4439.0,5078.0,5468.0,7525.0,7910.0,9737.0,10626.0,2211.0,1893.0,1322.0,1708.0,1564.0,1798.0,2076.0,2237.0,2232.0,2217.0,2322.0,2244.0,2335.0,2469.0,2870.0,2145.0,1098.0,1900.0,1835.0,2096.0,2522.0,2955.0,2782.0,2793.0,3455.0,3247.0,7303.0,8605.0,2575.0,1887.0,4970.0,2682.0,2881.0,2714.0,2882.0,3374.0,2524.0,11.0,3.0,8.0,25.0,29.0,7365.0,5679.0,2626.0,4950.0,4505.0,5204.0,7650.0,8312.0,8566.0,7978.0,7121.0,7661.0,8781.0,10471.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uttarakhand,74.0,89.0,107.0,115.0,133.0,147.0,117.0,87.0,111.0,121.0,129.0,148.0,228.0,270.0,126.0,155.0,134.0,127.0,125.0,183.0,227.0,222.0,247.0,249.0,283.0,256.0,633.0,275.0,56.0,66.0,93.0,82.0,63.0,80.0,70.0,73.0,94.0,75.0,83.0,71.0,43.0,38.0,103.0,145.0,136.0,143.0,100.0,153.0,146.0,120.0,119.0,125.0,116.0,139.0,295.0,343.0,84.0,97.0,98.0,110.0,89.0,113.0,63.0,306.0,249.0,165.0,72.0,73.0,72.0,4.0,301.0,316.0,317.0,405.0,272.0,358.0,463.0,340.0,361.0,334.0,307.0,368.0,435.0,301.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
west bengal,709.0,759.0,1002.0,1475.0,1686.0,1731.0,2106.0,2263.0,2336.0,2311.0,2363.0,2046.0,1685.0,3409.0,695.0,694.0,801.0,1018.0,1039.0,1199.0,1590.0,1907.0,2187.0,2764.0,3711.0,4168.0,3830.0,5904.0,265.0,273.0,329.0,396.0,446.0,445.0,451.0,451.0,506.0,507.0,510.0,593.0,481.0,504.0,954.0,964.0,1186.0,1566.0,1572.0,1837.0,2281.0,2396.0,1942.0,2465.0,2363.0,3345.0,4913.0,5846.0,48.0,34.0,71.0,64.0,54.0,63.0,99.0,94.0,108.0,163.0,200.0,556.0,577.0,546.0,3859.0,4069.0,4948.0,6334.0,6936.0,7414.0,9900.0,13663.0,16112.0,17796.0,19772.0,19865.0,18116.0,23564.0,3.0,1.0,1.0,12.0,61.0,1.0,5.0,5.0,5.0,8.0,0.0,12.0,9.0,5.0
