,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
716,andhra pradesh,adilabad,2002,37,32,20,174,63,240,0
717,andhra pradesh,anantapur,2002,28,49,9,179,37,151,0
718,andhra pradesh,chittoor,2002,28,39,16,126,40,188,0
719,andhra pradesh,cuddapah,2002,16,22,21,100,36,63,0
720,andhra pradesh,east godavari,2002,25,5,11,108,73,276,0
721,andhra pradesh,guntakal rly.,2002,1,0,0,3,0,0,0
722,andhra pradesh,guntur,2002,46,71,13,186,85,434,0
723,andhra pradesh,hyderabad city,2002,57,61,24,138,123,590,0
724,andhra pradesh,karimnagar,2002,99,42,45,357,125,209,0
725,andhra pradesh,khammam,2002,48,55,13,191,375,324,0
726,andhra pradesh,krishna,2002,41,21,14,211,110,374,0
727,andhra pradesh,kurnool,2002,45,24,11,166,115,167,0
728,andhra pradesh,mahaboobnagar,2002,85,36,31,202,42,225,0
729,andhra pradesh,medak,2002,68,38,25,103,28,251,0
730,andhra pradesh,nalgonda,2002,41,37,37,232,67,210,0
731,andhra pradesh,nellore,2002,46,54,10,206,226,289,0
732,andhra pradesh,nizamabad,2002,35,21,17,71,24,278,0
733,andhra pradesh,prakasham,2002,21,25,5,156,18,142,0
734,andhra pradesh,ranga reddy,2002,49,70,51,143,93,508,0
735,andhra pradesh,secunderabad rly.,2002,0,0,0,0,0,0,0
736,andhra pradesh,srikakulam,2002,14,9,4,60,16,114,0
737,andhra pradesh,vijayawada,2002,31,43,9,119,171,869,0
738,andhra pradesh,vijayawada rly.,2002,1,0,0,2,0,2,0
739,andhra pradesh,visakha rural,2002,14,0,2,65,41,85,0
740,andhra pradesh,visakhapatnam,2002,8,10,3,28,18,235,0
741,andhra pradesh,vizianagaram,2002,12,0,1,38,25,190,0
742,andhra pradesh,warangal,2002,52,58,45,212,0,157,0
743,andhra pradesh,west godavari,2002,54,32,12,223,73,447,0
745,arunachal pradesh,changlang,2002,3,2,0,0,0,2,0
746,arunachal pradesh,dibang valley,2002,5,5,0,4,0,5,0
747,arunachal pradesh,kameng east,2002,1,3,0,6,0,0,0
748,arunachal pradesh,kameng west,2002,0,1,0,0,0,0,0
749,arunachal pradesh,lohit,2002,3,3,0,8,0,0,0
750,arunachal pradesh,papum pare,2002,3,6,0,9,1,1,0
751,arunachal pradesh,siang east,2002,11,8,0,14,0,1,0
752,arunachal pradesh,siang upper,2002,3,0,0,0,0,0,0
753,arunachal pradesh,siang west,2002,4,6,0,18,0,2,0
754,arunachal pradesh,subansiri lower,2002,1,3,0,4,0,0,0
755,arunachal pradesh,subansiri upper,2002,2,1,0,4,0,0,0
756,arunachal pradesh,tawang,2002,1,0,0,0,1,1,0
757,arunachal pradesh,tirap,2002,1,0,0,1,0,1,0
759,assam,barpeta,2002,55,59,4,18,0,97,0
760,assam,bongaigaon,2002,21,40,3,2,0,32,0
761,assam,c.i.d.,2002,0,2,0,0,0,0,0
762,assam,cachar,2002,71,80,7,156,0,219,0
763,assam,darrang,2002,33,41,4,68,0,37,0
764,assam,dhemaji,2002,48,25,1,23,0,57,0
765,assam,dhubri,2002,46,51,4,67,2,167,0
766,assam,dibrugarh,2002,45,58,1,27,0,43,0
767,assam,g.r.p.,2002,0,0,0,0,0,0,0
768,assam,goalpara,2002,40,29,2,67,0,93,0
769,assam,golaghat,2002,42,60,0,36,0,36,0
770,assam,guwahati city,2002,60,144,6,41,0,69,0
771,assam,hailakandi,2002,24,42,1,30,0,34,0
772,assam,jorhat,2002,36,32,0,39,0,42,0
773,assam,kamrup,2002,41,104,2,23,0,20,0
774,assam,karbi anglong,2002,5,9,2,6,0,6,0
775,assam,karimganj,2002,23,7,6,11,0,69,0
776,assam,kokrajhar,2002,15,18,3,51,0,38,0
