,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
3625,andhra pradesh,adilabad,2006,64,71,22,185,107,423,0
3626,andhra pradesh,anantapur,2006,16,32,16,187,11,189,0
3627,andhra pradesh,chittoor,2006,31,37,18,123,190,249,0
3628,andhra pradesh,cuddapah,2006,25,51,10,130,84,199,0
3629,andhra pradesh,cyberabad,2006,60,90,50,132,93,837,0
3630,andhra pradesh,east godavari,2006,41,28,25,173,107,465,0
3631,andhra pradesh,guntakal rly.,2006,0,1,0,2,1,3,0
3632,andhra pradesh,guntur,2006,47,35,15,281,236,427,0
3633,andhra pradesh,hyderabad city,2006,93,77,29,189,108,1160,0
3634,andhra pradesh,karimnagar,2006,73,119,47,371,195,698,0
3635,andhra pradesh,khammam,2006,44,58,17,171,129,327,0
3636,andhra pradesh,krishna,2006,36,38,9,168,74,296,0
3637,andhra pradesh,kurnool,2006,35,70,9,341,157,157,0
3638,andhra pradesh,mahaboobnagar,2006,67,62,33,201,9,287,0
3639,andhra pradesh,medak,2006,57,39,33,107,59,276,0
3640,andhra pradesh,nalgonda,2006,61,71,40,246,126,395,0
3641,andhra pradesh,nellore,2006,35,49,10,192,137,294,0
3642,andhra pradesh,nizamabad,2006,36,46,18,115,64,431,0
3643,andhra pradesh,prakasham,2006,23,68,8,200,68,249,0
3644,andhra pradesh,ranga reddy,2006,9,10,15,50,9,67,0
3645,andhra pradesh,secunderabad rly.,2006,2,1,2,0,0,1,0
3646,andhra pradesh,srikakulam,2006,27,21,3,70,25,188,0
3647,andhra pradesh,vijayawada city,2006,21,60,8,135,158,336,0
3648,andhra pradesh,vijayawada rly.,2006,0,0,0,5,1,0,0
3649,andhra pradesh,visakha rural,2006,6,11,4,45,38,158,0
3650,andhra pradesh,visakhapatnam,2006,21,40,10,62,30,397,0
3651,andhra pradesh,vizianagaram,2006,16,16,5,69,22,171,0
3652,andhra pradesh,warangal,2006,50,78,40,230,56,480,0
3653,andhra pradesh,west godavari,2006,53,50,23,354,117,4,0
3655,arunachal pradesh,changlang,2006,4,4,0,0,0,2,0
3656,arunachal pradesh,dibang valley,2006,2,2,0,1,0,0,0
3657,arunachal pradesh,k/kumey,2006,2,2,0,0,0,0,0
3658,arunachal pradesh,kameng east,2006,1,0,0,2,0,0,0
3659,arunachal pradesh,kameng west,2006,2,2,0,3,0,0,0
3660,arunachal pradesh,lohit,2006,3,8,0,3,0,1,0
3661,arunachal pradesh,papum pare,2006,5,10,0,14,1,2,0
3662,arunachal pradesh,siang east,2006,7,4,0,11,0,1,0
3663,arunachal pradesh,siang upper,2006,2,2,0,6,0,1,0
3664,arunachal pradesh,siang west,2006,0,7,0,13,1,4,0
3665,arunachal pradesh,subansiri lower,2006,3,3,0,3,0,0,0
3666,arunachal pradesh,subansiri upper,2006,2,4,0,6,0,3,0
3667,arunachal pradesh,tawang,2006,0,0,0,1,0,0,0
3668,arunachal pradesh,tirap,2006,4,3,1,0,0,0,0
3669,arunachal pradesh,upper dibang valley,2006,0,0,0,0,0,0,0
3671,assam,barpeta,2006,58,70,4,18,0,116,0
3672,assam,baska,2006,14,14,1,26,0,12,0
3673,assam,bongaigaon,2006,13,19,0,20,0,28,0
3674,assam,c.i.d.,2006,0,0,0,0,0,0,0
3675,assam,cachar,2006,60,105,5,181,0,306,0
3676,assam,chirang,2006,30,26,0,34,0,58,0
3677,assam,darrang,2006,70,46,2,109,0,75,0
3678,assam,dhemaji,2006,58,30,1,28,0,94,0
3679,assam,dhubri,2006,115,94,7,132,0,217,0
3680,assam,dibrugarh,2006,53,56,4,48,0,44,0
3681,assam,g.r.p.,2006,1,0,0,0,0,0,0
3682,assam,goalpara,2006,55,35,4,45,0,151,0
3683,assam,golaghat,2006,63,70,1,44,0,76,0
3684,assam,guwahati city,2006,33,108,6,180,0,150,0
3685,assam,hailakandi,2006,23,48,1,9,0,49,0
3686,assam,jorhat,2006,30,52,0,40,0,56,0
3687,assam,kamrup,2006,37,60,10,58,0,115,0
3688,assam,karbi anglong,2006,14,18,2,9,0,11,0
3689,assam,karimganj,2006,44,46,4,3,0,74,0
3690,assam,kokrajhar,2006,29,39,14,26,0,69,0
3691,assam,lakhimpur,2006,79,93,6,38,0,110,0
3692,assam,morigaon,2006,58,56,10,72,0,60,0
3693,assam,n.c.hills,2006,4,9,0,3,0,24,0
3694,assam,nagaon,2006,133,177,8,10,10,278,0
3695,assam,nalbari,2006,17,26,1,32,0,24,0
3696,assam,r.p.o.,2006,3,0,0,0,0,0,0
3697,assam,sibsagar,2006,54,79,3,65,0,133,0
3698,assam,sonitpur,2006,56,105,7,7,0,155,0
3699,assam,tinsukia,2006,23,38,3,20,0,47,0
3700,assam,udalguri,2006,17,25,1,33,0,16,0
3702,bihar,araria,2006,42,12,19,10,0,52,0
3703,bihar,arwal,2006,0,4,9,20,0,5,0
3704,bihar,aurangabad,2006,18,41,23,5,0,35,0
3705,bihar,bagaha,2006,27,12,5,7,0,13,0
3706,bihar,banka,2006,70,26,21,2,0,18,0
3707,bihar,begusarai,2006,23,41,36,16,0,55,0
3708,bihar,bettiah,2006,49,35,23,24,29,40,0
3709,bihar,bhabhua,2006,22,14,19,5,0,17,1
3710,bihar,bhagalpur,2006,43,44,19,19,1,22,0
3711,bihar,bhojpur,2006,17,34,26,18,0,81,0
3712,bihar,buxar,2006,10,10,25,12,0,67,2
3713,bihar,darbhanga,2006,74,17,33,54,3,76,4
3714,bihar,gaya,2006,25,50,168,0,0,9,0
3715,bihar,gopalganj,2006,23,34,32,16,0,94,0
3716,bihar,jamalpur rly.,2006,0,0,0,0,0,0,0
3717,bihar,jamui,2006,29,14,15,7,2,19,0
3718,bihar,jehanabad,2006,10,1,15,5,0,5,0
3719,bihar,katihar,2006,82,31,35,33,6,29,0
3720,bihar,katihar rly.,2006,3,4,1,1,0,0,0
3721,bihar,khagaria,2006,22,0,15,6,0,12,0
3722,bihar,kishanganj,2006,81,69,9,0,0,57,0
3723,bihar,lakhisarai,2006,12,17,14,10,0,5,0
3724,bihar,madhepura,2006,10,10,12,4,0,7,0
3725,bihar,madhubani,2006,58,12,10,14,0,14,0
3726,bihar,motihari,2006,22,38,51,11,0,37,5
3727,bihar,munger,2006,13,0,7,10,0,40,0
3728,bihar,muzaffarpur,2006,48,23,65,7,0,75,0
3729,bihar,muzaffarpur rly.,2006,3,0,0,1,0,3,0
3730,bihar,nalanda,2006,31,35,63,45,0,90,0
3731,bihar,naugachia,2006,8,4,1,0,0,17,0
3732,bihar,nawadah,2006,20,15,24,9,2,18,2
3733,bihar,patna,2006,54,84,54,13,2,239,0
3734,bihar,patna rly.,2006,1,3,3,7,0,1,0
3735,bihar,purnea,2006,41,27,14,5,0,13,0
3736,bihar,rohtas,2006,17,20,36,9,0,25,0
3737,bihar,saharsa,2006,33,4,12,21,0,24,0
3738,bihar,samastipur,2006,53,11,47,11,5,33,27
3739,bihar,saran,2006,48,70,74,49,0,102,0
3740,bihar,sheikhpura,2006,5,4,11,4,0,18,0
3741,bihar,sheohar,2006,2,13,3,2,0,18,0
3742,bihar,sitamarhi,2006,27,45,13,19,2,76,1
3743,bihar,siwan,2006,18,88,41,12,1,75,0
3744,bihar,supaul,2006,24,19,8,0,0,10,0
3745,bihar,vaishali,2006,14,49,77,7,0,43,0
3747,chhattisgarh,balrampur,2006,45,1,0,40,0,9,0
3748,chhattisgarh,bilaspur,2006,68,27,23,192,13,120,0
3749,chhattisgarh,bizapur,2006,6,0,0,3,0,1,0
3750,chhattisgarh,dantewara,2006,14,9,1,11,1,4,0
3751,chhattisgarh,dhamtari,2006,27,4,0,62,10,16,0
3752,chhattisgarh,durg,2006,108,18,19,241,27,102,0
3753,chhattisgarh,grp raipur,2006,1,0,0,3,2,3,0
3754,chhattisgarh,jagdalpur,2006,71,13,4,55,0,18,0
3755,chhattisgarh,janjgir,2006,40,9,10,109,10,90,0
