,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
7415,andhra pradesh,adilabad,2011,84,70,20,112,142,429,0
7416,andhra pradesh,anantapur,2011,16,83,36,156,16,198,0
7417,andhra pradesh,chittoor,2011,17,47,25,124,168,421,0
7418,andhra pradesh,cuddapah,2011,41,65,15,144,17,122,0
7419,andhra pradesh,cyberabad,2011,89,90,51,158,234,1411,0
7420,andhra pradesh,east godavari,2011,72,51,17,176,224,575,0
7421,andhra pradesh,guntakal rly.,2011,0,0,0,0,3,1,0
7422,andhra pradesh,guntur,2011,40,57,8,223,140,494,0
7423,andhra pradesh,guntur urban,2011,33,28,6,86,111,395,0
7424,andhra pradesh,hyderabad city,2011,59,39,37,157,93,1355,0
7425,andhra pradesh,karimnagar,2011,58,120,40,253,235,702,0
7426,andhra pradesh,khammam,2011,84,73,20,243,140,519,0
7427,andhra pradesh,krishna,2011,80,75,15,348,292,733,0
7428,andhra pradesh,kurnool,2011,39,58,20,340,222,424,0
7429,andhra pradesh,mahaboobnagar,2011,88,69,28,162,66,259,0
7430,andhra pradesh,medak,2011,38,33,26,121,50,384,0
7431,andhra pradesh,nalgonda,2011,48,51,36,229,150,255,0
7432,andhra pradesh,nellore,2011,28,81,7,166,119,187,0
7433,andhra pradesh,nizamabad,2011,63,51,27,98,100,569,0
7434,andhra pradesh,prakasham,2011,24,81,11,243,56,266,0
7435,andhra pradesh,rajahmundry,2011,15,28,3,44,34,189,0
7436,andhra pradesh,ranga reddy,2011,24,20,15,50,2,89,0
7437,andhra pradesh,secunderabad rly.,2011,0,1,1,5,1,2,0
7438,andhra pradesh,srikakulam,2011,29,23,8,91,83,333,0
7439,andhra pradesh,tirupathi urban,2011,10,1,5,40,7,112,0
7440,andhra pradesh,vijayawada city,2011,37,50,17,248,355,1066,0
7441,andhra pradesh,vijayawada rly.,2011,1,2,1,3,2,1,0
7442,andhra pradesh,visakha rural,2011,38,30,8,120,128,203,0
7443,andhra pradesh,visakhapatnam,2011,57,48,12,31,50,386,0
7444,andhra pradesh,vizianagaram,2011,50,20,5,79,99,384,0
7445,andhra pradesh,warangal,2011,48,62,26,157,27,89,0
7446,andhra pradesh,warangal urban,2011,35,15,26,78,54,63,0
7447,andhra pradesh,west godavari,2011,97,90,27,364,238,760,0
7449,arunachal pradesh,anjaw,2011,0,0,0,0,0,0,0
7450,arunachal pradesh,changlang,2011,3,7,0,3,0,2,0
7451,arunachal pradesh,dibang valley,2011,3,2,0,1,0,0,0
7452,arunachal pradesh,k/kumey,2011,4,0,0,0,0,0,0
7453,arunachal pradesh,kameng east,2011,3,2,0,3,0,0,0
7454,arunachal pradesh,kameng west,2011,0,1,0,4,0,0,0
7455,arunachal pradesh,lohit,2011,5,4,0,2,0,0,0
7456,arunachal pradesh,papum pare,2011,4,17,0,7,0,9,0
7457,arunachal pradesh,rural,2011,2,4,0,4,0,3,0
7458,arunachal pradesh,siang east,2011,8,4,0,7,0,2,0
7459,arunachal pradesh,siang upper,2011,1,3,0,3,0,0,0
7460,arunachal pradesh,siang west,2011,2,5,0,8,0,2,0
7461,arunachal pradesh,subansiri lower,2011,2,3,0,0,0,0,0
7462,arunachal pradesh,subansiri upper,2011,2,6,0,5,0,0,0
7463,arunachal pradesh,tawang,2011,0,1,0,1,0,0,0
7464,arunachal pradesh,tirap,2011,3,1,0,3,0,0,0
7465,arunachal pradesh,upper dibang valley,2011,0,0,0,0,0,0,0
7467,assam,barpeta,2011,92,156,5,25,0,336,0
