,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
8206,andhra pradesh,adilabad,2012,88,61,7,90,155,498,0
8207,andhra pradesh,anantapur,2012,18,63,19,195,8,130,0
8208,andhra pradesh,chittoor,2012,28,49,33,90,269,339,0
8209,andhra pradesh,cuddapah,2012,26,44,13,217,37,120,0
8210,andhra pradesh,cyberabad,2012,75,102,45,183,282,976,0
8211,andhra pradesh,east godavari,2012,71,40,17,248,160,536,0
8212,andhra pradesh,guntakal rly.,2012,1,0,1,1,1,2,0
8213,andhra pradesh,guntur,2012,23,53,21,252,83,656,0
8214,andhra pradesh,guntur urban,2012,24,32,9,84,83,687,0
8215,andhra pradesh,hyderabad city,2012,74,31,23,145,141,1339,0
8216,andhra pradesh,karimnagar,2012,40,98,46,224,232,759,0
8217,andhra pradesh,khammam,2012,78,62,13,233,172,231,0
8218,andhra pradesh,krishna,2012,67,55,16,341,309,791,0
8219,andhra pradesh,kurnool,2012,22,46,15,331,75,166,0
8220,andhra pradesh,mahaboobnagar,2012,56,70,27,154,45,204,0
8221,andhra pradesh,medak,2012,26,45,20,112,55,475,0
8222,andhra pradesh,nalgonda,2012,52,79,20,246,264,302,0
8223,andhra pradesh,nellore,2012,23,72,9,210,142,405,0
8224,andhra pradesh,nizamabad,2012,35,23,19,100,102,596,0
8225,andhra pradesh,prakasham,2012,37,69,16,213,47,263,0
8226,andhra pradesh,rajahmundry,2012,13,5,3,49,35,183,0
8227,andhra pradesh,ranga reddy,2012,27,21,16,58,31,152,0
8228,andhra pradesh,secunderabad rly.,2012,2,0,0,5,5,0,0
8229,andhra pradesh,srikakulam,2012,39,18,3,116,69,312,0
8230,andhra pradesh,tirupathi urban,2012,12,14,6,21,11,96,0
8231,andhra pradesh,vijayawada city,2012,47,39,16,223,418,1136,0
8232,andhra pradesh,vijayawada rly.,2012,0,3,0,5,6,1,0
8233,andhra pradesh,visakha rural,2012,27,13,9,67,20,134,0
8234,andhra pradesh,visakhapatnam,2012,50,20,11,23,11,412,0
8235,andhra pradesh,vizianagaram,2012,44,20,3,96,103,363,0
8236,andhra pradesh,warangal,2012,56,58,20,117,34,101,0
8237,andhra pradesh,warangal urban,2012,30,39,9,71,74,267,0
8238,andhra pradesh,west godavari,2012,130,59,19,296,235,757,0
8240,arunachal pradesh,anjaw,2012,0,1,0,0,0,0,0
8241,arunachal pradesh,changlang,2012,6,7,1,5,0,4,0
8242,arunachal pradesh,dibang valley,2012,2,4,0,2,0,1,0
8243,arunachal pradesh,k/kumey,2012,2,1,0,1,0,0,0
8244,arunachal pradesh,kameng east,2012,6,2,0,1,0,0,0
8245,arunachal pradesh,kameng west,2012,0,1,0,1,0,2,0
8246,arunachal pradesh,lohit,2012,3,5,0,11,0,2,0
8247,arunachal pradesh,papum pare,2012,7,15,0,8,2,3,0
8248,arunachal pradesh,rural,2012,6,3,0,8,0,1,0
8249,arunachal pradesh,siang east,2012,6,0,0,4,0,1,0
8250,arunachal pradesh,siang upper,2012,1,3,0,0,0,3,0
8251,arunachal pradesh,siang west,2012,2,4,0,6,0,7,0
8252,arunachal pradesh,subansiri lower,2012,0,2,0,5,0,2,0
8253,arunachal pradesh,subansiri upper,2012,4,4,0,11,0,0,0
8254,arunachal pradesh,tawang,2012,0,0,0,1,0,0,0
8255,arunachal pradesh,tirap,2012,1,6,0,2,0,0,0
8256,arunachal pradesh,upper dibang valley,2012,0,0,0,1,0,0,0
8258,assam,baksa,2012,33,50,3,4,0,15,0
8259,assam,barpeta,2012,98,224,5,67,0,638,0
8260,assam,bieo,2012,0,0,0,0,0,0,0
8261,assam,bongaigaon,2012,50,59,6,15,0,169,0
8262,assam,c.i.d.,2012,4,1,0,0,0,0,0
8263,assam,cachar,2012,94,163,19,11,0,551,0
8264,assam,chirang,2012,24,30,0,11,0,78,0
8265,assam,darrang,2012,88,168,9,246,0,387,0
8266,assam,dhemaji,2012,74,61,2,17,0,82,0
8267,assam,dhubri,2012,159,305,13,218,1,729,0
8268,assam,dibrugarh,2012,50,75,0,138,0,316,0
8269,assam,g.r.p.,2012,3,3,2,3,1,10,0
8270,assam,goalpara,2012,65,68,3,97,0,323,0
8271,assam,golaghat,2012,60,154,1,72,0,226,0
8272,assam,guwahati city,2012,78,326,9,90,0,237,0
8273,assam,hailakandi,2012,56,65,6,52,0,125,0
8274,assam,hamren,2012,3,12,0,2,0,3,0
8275,assam,jorhat,2012,42,95,1,53,0,254,0
8276,assam,kamrup,2012,54,107,5,70,0,172,0
8277,assam,karbi anglong,2012,28,50,0,4,0,30,0
8278,assam,karimganj,2012,32,85,11,4,0,262,0
8279,assam,kokrajhar,2012,27,65,3,31,0,84,2
8280,assam,lakhimpur,2012,62,97,0,25,0,19,0
8281,assam,morigaon,2012,58,88,4,25,0,115,0
8282,assam,n.c.hills,2012,5,13,0,0,0,0,0
8283,assam,nagaon,2012,173,348,10,245,3,875,0
8284,assam,nalbari,2012,34,89,3,83,0,131,0
8285,assam,r.p.o.,2012,0,6,0,0,0,0,0
8286,assam,sibsagar,2012,78,153,5,134,0,269,0
8287,assam,sonitpur,2012,97,220,11,39,0,124,0
8288,assam,tinsukia,2012,64,142,1,43,0,137,0
8289,assam,udalguri,2012,23,38,8,41,0,46,0
8291,bihar,araria,2012,53,78,21,8,7,32,0
8292,bihar,arwal,2012,5,24,13,0,0,22,0
8293,bihar,aurangabad,2012,22,58,27,2,0,110,0
8294,bihar,bagaha,2012,11,69,9,0,0,37,0
8295,bihar,banka,2012,17,45,17,0,0,37,0
8296,bihar,begusarai,2012,11,113,27,0,0,79,0
8297,bihar,bettiah,2012,35,141,28,0,0,20,0
8298,bihar,bhabhua,2012,10,38,21,0,0,42,0
8299,bihar,bhagalpur,2012,31,106,24,0,4,119,0
8300,bihar,bhojpur,2012,9,69,38,0,0,56,0
8301,bihar,buxar,2012,21,70,28,29,0,86,0
8302,bihar,darbhanga,2012,44,150,34,0,1,377,0
8303,bihar,gaya,2012,35,120,53,0,0,92,0
8304,bihar,gopalganj,2012,20,89,43,0,0,190,0
8305,bihar,jamalpur rly.,2012,1,0,0,0,0,0,0
8306,bihar,jamui,2012,27,43,18,2,0,65,0
8307,bihar,jehanabad,2012,8,41,24,0,0,37,0
8308,bihar,katihar,2012,73,112,24,1,1,111,0
8309,bihar,katihar rly.,2012,0,6,0,1,0,1,0
8310,bihar,khagaria,2012,18,34,12,0,0,41,0
8311,bihar,kishanganj,2012,32,71,19,0,0,50,0
8312,bihar,lakhisarai,2012,13,28,10,3,0,55,0
8313,bihar,madhepura,2012,31,56,15,0,2,46,0
8314,bihar,madhubani,2012,31,163,27,0,0,195,0
8315,bihar,motihari,2012,22,198,67,0,16,156,0
8316,bihar,munger,2012,9,49,8,1,0,40,0
8317,bihar,muzaffarpur,2012,34,220,83,0,0,80,3
8318,bihar,muzaffarpur rly.,2012,2,0,0,0,0,0,0
8319,bihar,nalanda,2012,11,85,79,7,1,116,0
8320,bihar,naugachia,2012,2,18,10,0,0,64,0
8321,bihar,nawadah,2012,18,57,29,0,0,13,0
8322,bihar,patna,2012,49,300,97,19,1,377,0
8323,bihar,patna rly.,2012,2,5,3,16,0,2,0
8324,bihar,purnea,2012,39,95,17,8,4,0,1
8325,bihar,rohtas,2012,26,94,44,15,0,92,0
8326,bihar,saharsa,2012,16,76,10,0,0,72,0
8327,bihar,samastipur,2012,24,112,34,0,0,114,0
8328,bihar,saran,2012,23,137,74,0,0,138,0
8329,bihar,sheikhpura,2012,10,27,8,0,0,37,0
8330,bihar,sheohar,2012,2,22,9,3,0,9,0
8331,bihar,sitamarhi,2012,20,143,30,0,0,100,0
8332,bihar,siwan,2012,20,166,64,2,0,101,0
8333,bihar,supaul,2012,20,90,15,0,0,79,0
8334,bihar,vaishali,2012,20,171,62,1,0,196,0
8336,chhattisgarh,balod,2012,22,6,4,50,1,9,0
