,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
5108,andhra pradesh,adilabad,2008,50,26,5,174,103,355,0
5109,andhra pradesh,anantapur,2008,37,36,12,133,132,0,0
5110,andhra pradesh,chittoor,2008,30,57,26,104,250,288,0
5111,andhra pradesh,cuddapah,2008,27,64,11,212,37,267,0
5112,andhra pradesh,cyberabad,2008,80,101,59,130,833,884,0
5113,andhra pradesh,east godavari,2008,48,13,23,194,131,563,0
5114,andhra pradesh,guntakal rly.,2008,0,0,0,3,1,2,0
5115,andhra pradesh,guntur,2008,48,65,26,306,99,496,0
5116,andhra pradesh,hyderabad city,2008,62,77,41,231,148,1184,0
5117,andhra pradesh,karimnagar,2008,84,148,48,310,273,596,0
5118,andhra pradesh,khammam,2008,70,83,26,213,24,329,0
5119,andhra pradesh,krishna,2008,38,52,12,254,93,379,0
5120,andhra pradesh,kurnool,2008,47,72,17,419,232,227,0
5121,andhra pradesh,mahaboobnagar,2008,72,87,35,162,38,231,0
5122,andhra pradesh,medak,2008,50,44,35,114,61,332,0
5123,andhra pradesh,nalgonda,2008,90,76,32,243,155,353,0
5124,andhra pradesh,nellore,2008,39,73,6,184,130,333,0
5125,andhra pradesh,nizamabad,2008,31,25,16,70,85,305,0
5126,andhra pradesh,prakasham,2008,30,53,5,192,38,229,0
5127,andhra pradesh,ranga reddy,2008,37,13,19,39,25,120,0
5128,andhra pradesh,secunderabad rly.,2008,2,0,0,1,0,0,0
5129,andhra pradesh,srikakulam,2008,32,14,6,92,72,314,0
5130,andhra pradesh,vijayawada city,2008,30,36,9,104,252,395,0
5131,andhra pradesh,vijayawada rly.,2008,0,0,0,1,1,0,0
5132,andhra pradesh,visakha rural,2008,12,9,10,79,40,168,0
5133,andhra pradesh,visakhapatnam,2008,29,26,13,87,2,488,0
5134,andhra pradesh,vizianagaram,2008,6,14,3,88,60,253,0
5135,andhra pradesh,warangal,2008,59,62,36,223,54,519,0
5136,andhra pradesh,west godavari,2008,117,70,25,368,182,696,0
5138,arunachal pradesh,changlang,2008,2,4,0,5,0,0,0
5139,arunachal pradesh,dibang valley,2008,3,4,0,9,0,2,0
5140,arunachal pradesh,k/kumey,2008,2,2,0,2,0,1,0
5141,arunachal pradesh,kameng east,2008,5,4,0,0,0,0,0
5142,arunachal pradesh,kameng west,2008,0,2,0,4,0,0,0
5143,arunachal pradesh,lohit,2008,3,1,0,1,0,0,0
5144,arunachal pradesh,papum pare,2008,7,10,0,12,1,3,0
5145,arunachal pradesh,siang east,2008,5,5,0,6,0,1,0
5146,arunachal pradesh,siang upper,2008,0,1,0,1,0,0,0
5147,arunachal pradesh,siang west,2008,13,8,0,6,0,5,0
5148,arunachal pradesh,subansiri lower,2008,0,3,0,10,0,0,0
5149,arunachal pradesh,subansiri upper,2008,2,1,0,6,0,1,0
5150,arunachal pradesh,tawang,2008,0,0,0,5,0,0,0
5151,arunachal pradesh,tirap,2008,0,2,0,5,0,0,0
5152,arunachal pradesh,upper dibang valley,2008,0,0,0,0,0,0,0
5154,assam,barpeta,2008,97,117,14,34,0,240,0
5155,assam,baska,2008,23,30,4,16,0,13,0
5156,assam,bongaigaon,2008,51,35,5,13,0,106,0
5157,assam,c.i.d.,2008,0,0,0,0,0,0,0
5158,assam,cachar,2008,72,106,13,19,0,216,0
5159,assam,chirang,2008,25,24,0,15,0,38,0
5160,assam,darrang,2008,57,57,2,162,2,119,0
5161,assam,dhemaji,2008,88,51,0,40,0,165,0
5162,assam,dhubri,2008,116,126,4,88,0,393,0
5163,assam,dibrugarh,2008,46,60,4,60,0,100,0
5164,assam,g.r.p.,2008,5,8,0,2,0,0,0
5165,assam,goalpara,2008,66,64,4,32,0,117,0
5166,assam,golaghat,2008,42,50,0,46,0,86,0
5167,assam,guwahati city,2008,59,97,5,169,0,216,0
5168,assam,hailakandi,2008,39,52,3,8,0,62,0
5169,assam,jorhat,2008,44,41,0,59,0,76,0
5170,assam,kamrup,2008,36,78,3,75,0,101,0
5171,assam,karbi anglong,2008,16,12,1,7,0,16,0
5172,assam,karimganj,2008,19,44,5,10,0,99,0
5173,assam,kokrajhar,2008,55,24,4,16,0,58,0
5174,assam,lakhimpur,2008,52,71,1,24,0,160,0
5175,assam,morigaon,2008,75,68,4,57,0,114,0
5176,assam,n.c.hills,2008,4,9,0,1,0,3,0
5177,assam,nagaon,2008,112,209,9,200,0,371,0
5178,assam,nalbari,2008,30,47,6,42,0,54,0
5179,assam,r.p.o.,2008,5,3,0,1,0,0,0
5180,assam,sibsagar,2008,46,94,4,27,0,139,0
5181,assam,sonitpur,2008,56,125,6,34,0,294,0
5182,assam,tinsukia,2008,60,60,2,8,0,84,0
5183,assam,udalguri,2008,42,27,0,7,0,38,0
5185,bihar,araria,2008,37,30,3,35,0,92,2
5186,bihar,arwal,2008,2,10,13,0,0,8,0
5187,bihar,aurangabad,2008,30,38,32,13,0,65,0
5188,bihar,bagaha,2008,15,36,11,14,0,36,0
5189,bihar,banka,2008,49,38,23,16,0,24,0
5190,bihar,begusarai,2008,25,34,41,3,0,56,0
5191,bihar,bettiah,2008,28,49,33,0,4,96,0
5192,bihar,bhabhua,2008,8,19,19,10,0,26,1
5193,bihar,bhagalpur,2008,35,98,27,35,5,120,0
5194,bihar,bhojpur,2008,18,47,57,31,1,122,0
5195,bihar,buxar,2008,11,18,29,20,0,19,0
5196,bihar,darbhanga,2008,67,80,48,53,0,45,0
5197,bihar,gaya,2008,52,77,43,8,0,40,3
5198,bihar,gopalganj,2008,23,63,36,27,0,110,0
5199,bihar,jamalpur rly.,2008,1,0,1,0,0,0,0
5200,bihar,jamui,2008,17,21,32,25,0,41,0
5201,bihar,jehanabad,2008,6,19,23,0,0,17,0
5202,bihar,katihar,2008,120,66,15,12,0,28,0
5203,bihar,katihar rly.,2008,2,2,0,5,0,1,0
5204,bihar,khagaria,2008,16,17,9,2,0,13,0
5205,bihar,kishanganj,2008,30,26,8,0,0,23,0
5206,bihar,lakhisarai,2008,35,17,11,23,2,12,0
5207,bihar,madhepura,2008,16,30,16,10,0,12,0
5208,bihar,madhubani,2008,24,36,24,182,0,51,0
5209,bihar,motihari,2008,34,83,45,14,0,12,0
5210,bihar,munger,2008,20,31,14,2,0,40,0
5211,bihar,muzaffarpur,2008,28,97,75,15,0,90,0
5212,bihar,muzaffarpur rly.,2008,2,0,0,0,0,1,0
