,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
5869,andhra pradesh,adilabad,2009,67,56,13,192,163,428,0
5870,andhra pradesh,anantapur,2009,22,60,14,157,13,143,0
5871,andhra pradesh,chittoor,2009,33,46,19,120,268,333,0
5872,andhra pradesh,cuddapah,2009,27,47,17,165,52,124,0
5873,andhra pradesh,cyberabad,2009,82,113,46,173,155,991,0
5874,andhra pradesh,east godavari,2009,47,60,23,196,178,440,0
5875,andhra pradesh,guntakal rly.,2009,0,0,0,3,1,0,0
5876,andhra pradesh,guntur,2009,40,62,26,340,451,720,0
5877,andhra pradesh,hyderabad city,2009,47,55,36,295,63,1363,0
5878,andhra pradesh,karimnagar,2009,48,106,40,292,234,635,0
5879,andhra pradesh,khammam,2009,98,96,18,205,152,519,0
5880,andhra pradesh,krishna,2009,43,35,14,297,130,402,0
5881,andhra pradesh,kurnool,2009,31,73,17,398,365,239,0
5882,andhra pradesh,mahaboobnagar,2009,74,101,24,215,75,299,0
5883,andhra pradesh,medak,2009,46,51,27,118,58,368,0
5884,andhra pradesh,nalgonda,2009,77,75,41,254,205,364,0
5885,andhra pradesh,nellore,2009,32,48,3,287,128,305,0
5886,andhra pradesh,nizamabad,2009,27,41,19,79,75,518,0
5887,andhra pradesh,prakasham,2009,27,44,14,197,51,248,0
5888,andhra pradesh,ranga reddy,2009,26,20,20,44,25,108,0
5889,andhra pradesh,secunderabad rly.,2009,0,0,0,3,0,0,0
5890,andhra pradesh,srikakulam,2009,21,20,6,67,44,211,0
5891,andhra pradesh,vijayawada city,2009,23,53,17,177,198,433,0
5892,andhra pradesh,vijayawada rly.,2009,0,0,0,0,0,0,0
5893,andhra pradesh,visakha rural,2009,14,7,8,57,56,167,0
5894,andhra pradesh,visakhapatnam,2009,39,26,13,95,54,481,0
5895,andhra pradesh,vizianagaram,2009,13,12,8,103,105,297,0
5896,andhra pradesh,warangal,2009,70,130,49,234,25,432,0
5897,andhra pradesh,west godavari,2009,114,89,14,384,196,729,0
5899,arunachal pradesh,anjaw,2009,0,0,0,0,0,0,0
5900,arunachal pradesh,changlang,2009,8,6,0,3,0,4,0
5901,arunachal pradesh,dibang valley,2009,3,4,0,2,0,1,0
5902,arunachal pradesh,k/kumey,2009,5,0,0,0,0,0,0
5903,arunachal pradesh,kameng east,2009,3,3,0,1,0,0,0
5904,arunachal pradesh,kameng west,2009,1,0,0,5,0,1,0
5905,arunachal pradesh,lohit,2009,8,2,0,5,0,0,0
5906,arunachal pradesh,papum pare,2009,11,3,0,10,6,1,0
5907,arunachal pradesh,siang east,2009,9,3,0,6,0,1,0
5908,arunachal pradesh,siang upper,2009,2,0,0,1,0,0,0
5909,arunachal pradesh,siang west,2009,5,4,0,6,0,4,0
5910,arunachal pradesh,subansiri lower,2009,2,1,0,8,0,0,0
5911,arunachal pradesh,subansiri upper,2009,1,1,0,5,0,1,0
5912,arunachal pradesh,tawang,2009,0,0,0,0,0,0,0
5913,arunachal pradesh,tirap,2009,1,1,0,6,0,0,0
5914,arunachal pradesh,upper dibang valley,2009,0,0,0,0,0,0,0
5916,assam,barpeta,2009,123,98,29,130,0,206,0
5917,assam,baska,2009,18,23,3,8,0,25,0
5918,assam,bongaigaon,2009,54,53,4,5,0,118,0
5919,assam,c.i.d.,2009,0,0,0,0,0,0,0
5920,assam,cachar,2009,70,131,23,29,1,479,0
5921,assam,chirang,2009,35,51,1,1,0,51,0
5922,assam,darrang,2009,80,96,7,139,0,236,0
5923,assam,dhemaji,2009,62,63,1,42,0,110,0
5924,assam,dhubri,2009,150,147,20,154,2,375,0
5925,assam,dibrugarh,2009,46,6,3,44,0,92,0
5926,assam,g.r.p.,2009,0,0,0,0,0,0,0
5927,assam,goalpara,2009,90,89,2,2,0,252,0
5928,assam,golaghat,2009,35,97,0,46,0,108,0
5929,assam,guwahati city,2009,54,231,9,162,0,321,0
5930,assam,hailakandi,2009,45,44,8,12,0,81,0
5931,assam,jorhat,2009,36,40,1,53,0,116,0
5932,assam,kamrup,2009,57,108,3,35,0,108,0
5933,assam,karbi anglong,2009,17,14,0,9,0,23,0
5934,assam,karimganj,2009,26,36,12,9,0,106,1
5935,assam,kokrajhar,2009,44,35,1,26,0,70,0
5936,assam,lakhimpur,2009,54,97,3,42,0,187,0
5937,assam,morigaon,2009,88,69,3,60,0,98,0
5938,assam,n.c.hills,2009,3,6,0,4,0,3,0
5939,assam,nagaon,2009,162,221,12,134,7,655,0
5940,assam,nalbari,2009,31,48,6,76,0,73,0
5941,assam,r.p.o.,2009,7,0,0,0,0,0,0
5942,assam,sibsagar,2009,71,0,4,52,0,149,0
5943,assam,sonitpur,2009,89,169,11,38,0,246,0
5944,assam,tinsukia,2009,58,87,2,8,0,62,0
5945,assam,udalguri,2009,26,33,2,22,0,48,0
5947,bihar,araria,2009,28,50,21,4,0,18,0
