,state_ut,district,year,rape,kidnapping_abduction,dowry_deaths,assault_intnt_outrage_modesty,inslt_modesty_women,cruelty_husban_reltvs,in_trafficking
0,andhra pradesh,adilabad,2001,50,30,16,149,34,175,0
1,andhra pradesh,anantapur,2001,23,30,7,118,24,154,0
2,andhra pradesh,chittoor,2001,27,34,14,112,83,186,0
3,andhra pradesh,cuddapah,2001,20,20,17,126,38,57,0
4,andhra pradesh,east godavari,2001,23,26,12,109,58,247,0
5,andhra pradesh,guntakal rly.,2001,0,0,0,1,0,0,0
6,andhra pradesh,guntur,2001,54,51,7,139,129,378,0
7,andhra pradesh,hyderabad city,2001,37,39,24,118,27,746,0
8,andhra pradesh,karimnagar,2001,56,49,62,414,81,224,0
9,andhra pradesh,khammam,2001,47,30,17,180,336,172,0
10,andhra pradesh,krishna,2001,37,21,10,208,72,265,0
11,andhra pradesh,kurnool,2001,29,47,13,141,107,92,0
12,andhra pradesh,mahaboobnagar,2001,59,27,14,176,41,69,0
13,andhra pradesh,medak,2001,35,20,26,100,25,192,0
14,andhra pradesh,nalgonda,2001,35,19,31,188,59,214,0
15,andhra pradesh,nellore,2001,46,80,10,207,228,287,0
16,andhra pradesh,nizamabad,2001,21,21,19,55,15,228,0
17,andhra pradesh,prakasham,2001,19,12,5,140,100,119,0
18,andhra pradesh,ranga reddy,2001,72,83,37,113,55,421,7
19,andhra pradesh,secunderabad rly.,2001,0,0,1,0,1,0,0
20,andhra pradesh,srikakulam,2001,8,12,6,38,47,108,0
21,andhra pradesh,vijayawada,2001,25,48,2,84,122,520,0
22,andhra pradesh,vijayawada rly.,2001,1,0,0,1,1,0,0
23,andhra pradesh,visakha rural,2001,12,12,3,67,48,99,0
24,andhra pradesh,visakhapatnam,2001,13,6,0,33,462,204,0
25,andhra pradesh,vizianagaram,2001,8,2,0,40,22,121,0
26,andhra pradesh,warangal,2001,53,25,52,241,0,165,0
27,andhra pradesh,west godavari,2001,61,21,15,246,56,348,0
29,arunachal pradesh,changlang,2001,1,2,0,3,0,0,0
30,arunachal pradesh,dibang valley,2001,2,4,0,4,0,2,0
31,arunachal pradesh,kameng east,2001,2,5,0,5,0,0,0
32,arunachal pradesh,kameng west,2001,0,2,0,0,0,0,0
33,arunachal pradesh,lohit,2001,2,6,0,8,0,0,0
34,arunachal pradesh,papum pare,2001,9,5,0,6,0,3,0
35,arunachal pradesh,siang east,2001,5,7,0,7,0,2,0
36,arunachal pradesh,siang upper,2001,2,5,0,3,0,0,0
37,arunachal pradesh,siang west,2001,4,10,0,25,2,2,0
38,arunachal pradesh,subansiri lower,2001,2,5,0,4,0,0,0
39,arunachal pradesh,subansiri upper,2001,2,1,0,8,0,2,0
40,arunachal pradesh,tawang,2001,1,0,0,5,1,0,0
41,arunachal pradesh,tirap,2001,1,3,0,0,0,0,0
43,assam,barpeta,2001,28,88,10,29,0,95,0
44,assam,bongaigaon,2001,20,21,1,22,0,26,0
45,assam,c.i.d.,2001,0,0,0,0,0,0,0
46,assam,cachar,2001,45,74,7,80,0,216,0
47,assam,darrang,2001,48,47,9,56,0,37,0
48,assam,dhemaji,2001,42,20,0,26,0,0,0
49,assam,dhubri,2001,43,51,5,49,0,111,0
50,assam,dibrugarh,2001,35,37,3,41,0,19,0
51,assam,g.r.p.,2001,1,0,0,0,0,0,0
52,assam,goalpara,2001,35,35,1,54,0,64,0
53,assam,golaghat,2001,30,40,0,23,0,26,0
54,assam,guwahati city,2001,37,64,5,67,0,98,0
55,assam,hailakandi,2001,24,34,2,27,0,28,0
56,assam,jorhat,2001,42,28,2,44,0,48,0
57,assam,kamrup,2001,21,65,2,42,0,27,0
58,assam,karbi anglong,2001,5,15,4,5,0,8,0
59,assam,karimganj,2001,33,8,1,9,0,30,0
60,assam,kokrajhar,2001,14,12,0,37,0,20,0
61,assam,lakhimpur,2001,64,62,0,22,0,93,0
62,assam,morigaon,2001,23,37,0,6,0,28,0
63,assam,n.c.hills,2001,2,4,0,2,0,7,0
64,assam,nagaon,2001,51,109,1,113,4,132,0
65,assam,nalbari,2001,30,27,3,16,0,15,0
66,assam,r.p.o.,2001,3,0,0,0,0,0,0
67,assam,sibsagar,2001,47,64,0,28,0,0,0
68,assam,sonitpur,2001,53,80,1,43,0,99,0
69,assam,tinsukia,2001,41,48,2,9,0,21,0
71,bihar,araria,2001,93,13,11,3,0,50,0
72,bihar,arwal,2001,0,0,7,11,0,14,0
73,bihar,aurangabad,2001,16,4,33,13,2,19,0
74,bihar,bagaha,2001,25,6,0,4,0,2,0
75,bihar,banka,2001,34,10,9,0,0,16,0
76,bihar,begusarai,2001,13,7,21,32,0,21,0
77,bihar,bettiah,2001,20,23,17,23,0,54,8
78,bihar,bhabhua,2001,10,12,8,7,0,22,0
79,bihar,bhagalpur,2001,35,9,20,15,0,52,0
80,bihar,bhojpur,2001,22,13,23,0,4,29,0
81,bihar,buxar,2001,8,1,15,0,0,0,0
82,bihar,darbhanga,2001,19,16,37,40,0,34,0
83,bihar,gaya,2001,25,15,26,27,0,24,0
84,bihar,gopalganj,2001,13,18,22,0,2,155,0
85,bihar,jamalpur rly.,2001,1,0,0,1,0,1,0
86,bihar,jamui,2001,10,1,16,8,0,15,0
87,bihar,jehanabad,2001,6,5,25,0,0,4,0
88,bihar,katihar,2001,51,20,6,6,0,29,0
89,bihar,katihar rly.,2001,0,1,0,2,0,0,0
90,bihar,khagaria,2001,5,6,11,6,0,2,0
91,bihar,kishanganj,2001,22,16,4,2,1,39,0
92,bihar,lakhisarai,2001,10,7,6,12,0,5,0
93,bihar,madhepura,2001,11,15,6,3,0,10,0
94,bihar,madhubani,2001,13,11,12,41,0,18,0
95,bihar,motihari,2001,44,35,37,3,1,47,0
96,bihar,munger,2001,11,15,8,0,0,39,0
97,bihar,muzaffarpur,2001,73,25,69,81,0,141,6
98,bihar,muzaffarpur rly.,2001,2,1,0,4,0,1,0
99,bihar,nalanda,2001,40,12,47,14,2,54,0
100,bihar,naugachia,2001,7,9,4,0,0,5,0
101,bihar,nawadah,2001,15,1,17,7,0,13,1
102,bihar,patna,2001,27,11,90,47,0,152,39
103,bihar,patna rly.,2001,1,1,0,9,0,0,0
104,bihar,purnea,2001,39,23,8,5,0,22,0
105,bihar,rohtas,2001,25,18,36,21,0,59,0
106,bihar,saharsa,2001,12,10,7,9,0,12,0
107,bihar,samastipur,2001,19,29,11,17,9,35,29
108,bihar,saran,2001,20,15,67,22,0,101,0
109,bihar,sheikhpura,2001,3,1,9,0,0,32,0
110,bihar,sheohar,2001,11,7,3,0,0,2,0
111,bihar,sitamarhi,2001,23,20,13,1,0,21,0
112,bihar,siwan,2001,4,26,32,6,0,10,0
113,bihar,supaul,2001,30,2,7,8,0,18,0
114,bihar,vaishali,2001,20,28,59,52,0,179,0
116,chhattisgarh,balrampur,2001,17,1,1,18,0,7,0
117,chhattisgarh,bilaspur,2001,69,20,7,180,10,94,0
118,chhattisgarh,bizapur,2001,4,0,0,1,0,0,0
119,chhattisgarh,dantewara,2001,19,8,1,18,1,3,0
120,chhattisgarh,dhamtari,2001,22,4,1,41,5,6,0
121,chhattisgarh,durg,2001,144,42,12,287,38,231,0
122,chhattisgarh,grp raipur,2001,0,0,0,4,0,1,0
123,chhattisgarh,jagdalpur,2001,59,4,3,49,2,14,0
124,chhattisgarh,janjgir,2001,29,6,9,110,13,116,0
125,chhattisgarh,jashpur,2001,36,2,2,41,1,4,0
126,chhattisgarh,kanker,2001,42,4,1,36,3,10,0
127,chhattisgarh,kawardha,2001,35,0,1,45,4,15,0
128,chhattisgarh,korba,2001,46,13,1,90,7,31,0
129,chhattisgarh,koriya,2001,34,7,3,102,2,31,0
130,chhattisgarh,mahasamund,2001,43,7,6,69,6,21,0
131,chhattisgarh,raigarh,2001,53,6,2,104,5,22,0
132,chhattisgarh,raipur,2001,104,28,16,253,42,121,0
133,chhattisgarh,rajnandgaon,2001,58,3,3,92,12,51,0
134,chhattisgarh,sarguja,2001,145,16,1,223,10,62,0
136,goa,north goa,2001,4,1,2,12,2,6,0
137,goa,south goa,2001,8,5,0,5,5,5,0
139,gujarat,ahmedabad commr.,2001,39,117,7,54,27,530,0
140,gujarat,ahmedabad rural,2001,5,27,0,26,0,84,0
141,gujarat,ahwa-dang,2001,1,1,0,2,0,2,0
142,gujarat,amreli,2001,2,34,2,21,0,94,0
143,gujarat,anand,2001,3,28,0,27,3,210,0
144,gujarat,bharuch,2001,4,34,0,19,0,56,0
145,gujarat,bhavnagar,2001,9,51,2,36,7,129,0
146,gujarat,dahod,2001,5,15,0,17,0,11,0
147,gujarat,gandhinagar,2001,4,12,3,37,7,116,0
148,gujarat,himatnagar,2001,17,29,4,51,0,165,0
149,gujarat,jamnagar,2001,20,22,2,18,2,163,0
150,gujarat,junagadh,2001,14,39,11,44,8,384,0
151,gujarat,kheda north,2001,11,30,0,43,0,122,0
152,gujarat,kutch,2001,2,22,2,25,1,176,0
153,gujarat,mehsana,2001,4,49,5,47,1,188,0
154,gujarat,narmada,2001,8,8,0,7,1,9,0
155,gujarat,navsari,2001,2,5,0,6,0,17,0
156,gujarat,palanpur,2001,18,35,2,50,2,152,0
157,gujarat,panchmahal,2001,5,46,0,1,23,43,0
158,gujarat,patan,2001,3,21,0,23,0,78,0
159,gujarat,porbandar,2001,6,5,0,10,0,64,0
160,gujarat,rajkot commr.,2001,5,38,3,19,12,199,0
161,gujarat,rajkot rural,2001,20,35,2,45,3,206,0
162,gujarat,surat commr.,2001,11,37,20,10,1,132,0
163,gujarat,surat rural,2001,26,16,0,11,0,34,0
164,gujarat,surendranagar,2001,11,24,2,45,3,75,0
165,gujarat,vadodara commr.,2001,3,32,0,11,10,90,0
166,gujarat,vadodara rural,2001,18,34,0,34,0,81,0
167,gujarat,valsad,2001,9,11,0,10,0,50,0
168,gujarat,w.rly,2001,1,0,0,7,0,7,0
170,haryana,ambala,2001,11,32,11,27,0,132,0
171,haryana,bhiwani,2001,10,7,33,17,0,43,0
172,haryana,faridabad,2001,37,53,19,47,242,108,0
173,haryana,fatehabad,2001,17,13,17,17,0,93,0
174,haryana,grp,2001,0,2,5,1,26,0,0
175,haryana,gurgaon,2001,32,32,17,21,21,136,0
176,haryana,hissar,2001,10,18,24,33,0,117,0
177,haryana,jhajjar,2001,21,8,20,42,13,122,0
178,haryana,jind,2001,21,8,11,22,29,67,0
179,haryana,kaithal,2001,16,8,9,19,0,105,0
180,haryana,karnal,2001,44,10,18,28,2,97,0
181,haryana,kurukshetra,2001,31,14,10,28,8,68,0
182,haryana,mahendragarh,2001,11,8,8,19,0,23,0
183,haryana,panchkula,2001,6,15,4,23,10,43,0
184,haryana,panipat,2001,38,10,11,16,11,92,0
185,haryana,rewari,2001,11,11,12,17,0,14,0
186,haryana,rohtak,2001,28,6,17,26,20,41,0
187,haryana,sirsa,2001,17,7,12,23,0,98,0
188,haryana,sonipat,2001,15,12,18,22,14,51,0
189,haryana,yamunanagar,2001,22,23,9,30,5,63,0
191,himachal pradesh,bilaspur,2001,5,9,1,35,1,47,0
192,himachal pradesh,chamba,2001,12,15,0,23,1,21,0
193,himachal pradesh,g.r.p.,2001,0,0,0,0,0,0,0
194,himachal pradesh,hamirpur,2001,3,3,1,17,2,33,0
195,himachal pradesh,kangra,2001,18,21,1,43,0,58,0
196,himachal pradesh,kinnaur,2001,6,3,0,4,0,2,0
197,himachal pradesh,kullu,2001,13,6,0,12,0,2,0
198,himachal pradesh,lahaul-spiti,2001,2,1,0,0,0,1,0
199,himachal pradesh,mandi,2001,16,10,0,59,4,56,0
200,himachal pradesh,shimla,2001,18,11,2,50,1,31,0
201,himachal pradesh,sirmaur,2001,10,11,3,33,4,22,0
202,himachal pradesh,solan,2001,12,10,2,23,1,24,0
203,himachal pradesh,una,2001,9,5,0,11,0,20,0
205,jammu & kashmir,anantnag,2001,6,36,0,53,12,0,0
206,jammu & kashmir,awantipora,2001,1,13,0,8,2,0,0
207,jammu & kashmir,baramulla,2001,28,59,0,93,14,0,0
208,jammu & kashmir,border,2001,12,10,0,15,5,3,0
209,jammu & kashmir,budgam,2001,7,34,0,35,9,0,0
210,jammu & kashmir,crime jammu,2001,0,0,0,0,0,0,0
211,jammu & kashmir,crime srinagar,2001,0,0,0,0,0,0,0
212,jammu & kashmir,doda,2001,7,15,0,6,2,1,0
213,jammu & kashmir,ganderbal,2001,5,31,0,30,4,0,0
214,jammu & kashmir,jammu,2001,13,43,5,40,94,26,0
215,jammu & kashmir,kargil,2001,0,1,0,1,0,0,0
216,jammu & kashmir,kathua,2001,13,10,3,14,4,1,0
217,jammu & kashmir,kulgam,2001,6,31,0,7,11,0,0
218,jammu & kashmir,kupwara,2001,6,29,0,62,2,0,0
219,jammu & kashmir,leh,2001,0,1,0,1,0,0,0
220,jammu & kashmir,poonch,2001,13,10,0,4,6,2,0
221,jammu & kashmir,pulwama,2001,7,33,0,19,12,0,0
222,jammu & kashmir,railways,2001,0,0,0,0,0,0,0
223,jammu & kashmir,rajouri,2001,17,20,3,7,6,6,0
224,jammu & kashmir,ramban,2001,3,3,0,3,2,0,0
225,jammu & kashmir,reasi,2001,7,9,0,5,4,0,0
226,jammu & kashmir,srinagar,2001,8,102,0,207,88,2,0
227,jammu & kashmir,udhampur,2001,10,14,2,12,11,9,0
229,jharkhand,bokaro,2001,26,32,25,24,2,45,0
230,jharkhand,chaibasa,2001,32,10,0,6,0,0,0
231,jharkhand,chatra,2001,6,3,7,0,0,6,0
232,jharkhand,deoghar,2001,22,0,10,13,1,10,0
233,jharkhand,dhanbad,2001,32,45,30,47,0,18,0
234,jharkhand,dhanbad rly.,2001,2,0,0,0,0,0,0
235,jharkhand,dumka,2001,27,0,3,20,0,23,0
236,jharkhand,garhwa,2001,11,2,15,0,0,5,0
237,jharkhand,giridih,2001,42,10,30,13,0,57,0
238,jharkhand,godda,2001,37,26,1,0,0,0,0
239,jharkhand,gumla,2001,29,11,0,2,0,10,1
