STATE/UT,YEAR,Crime Head,No. Of Cases Reported,No. of Victims upto 10 years,No. of Victims 10-14 years,No. of Victims 14-18 years,No. of Victims 18-30 years,No. of Victims 30-50 years,No. of Victims above 50 years,Total Victims
Punjab,2001,Incest cases,0,0,0,0,0,0,0,0
Punjab,2001,Other rape cases,298,8,30,137,98,24,1,298
Punjab,2001,Total,298,8,30,137,98,24,1,298
Punjab,2002,Incest cases,4,0,0,2,2,0,0,4
Punjab,2002,Total,299,8,12,32,213,33,1,299
Punjab,2002,Other rape cases,295,8,12,30,211,33,1,295
Punjab,2003,Other rape cases,371,6,12,32,257,63,1,371
Punjab,2003,Incest cases,9,0,2,2,5,0,0,9
Punjab,2003,Total,380,6,14,34,262,63,1,380
Punjab,2004,Incest cases,65,0,2,6,45,12,0,65
Punjab,2004,Total,390,7,12,35,262,74,0,390
Punjab,2004,Other rape cases,325,7,10,29,217,62,0,325
Punjab,2005,Total,398,9,19,23,239,108,0,398
Punjab,2005,Incest cases,50,2,1,11,25,11,0,50
Punjab,2005,Other rape cases,348,7,18,12,214,97,0,348
Punjab,2006,Total,442,14,19,26,319,64,0,442
Punjab,2006,Other rape cases,441,14,19,26,318,64,0,441
Punjab,2006,Incest cases,1,0,0,0,1,0,0,1
Punjab,2007,Total,519,26,38,71,302,79,3,519
Punjab,2007,Incest cases,7,0,0,6,1,0,0,7
Punjab,2007,Other rape cases,512,26,38,65,301,79,3,512
Punjab,2008,Total,517,27,36,45,359,47,5,519
Punjab,2008,Incest cases,2,0,0,0,1,1,0,2
Punjab,2008,Other rape cases,515,27,36,45,358,46,5,517
Punjab,2009,Total,511,34,48,131,258,43,1,515
Punjab,2009,Other rape cases,503,34,46,128,255,43,1,507
Punjab,2009,Incest cases,8,0,2,3,3,0,0,8
Punjab,2010,Other rape cases,529,22,35,76,341,55,1,530
Punjab,2010,Total,546,23,39,83,346,55,1,547
Punjab,2010,Incest cases,17,1,4,7,5,0,0,17
Punjab,2011,Total,479,20,32,115,278,32,3,480
Punjab,2011,Other rape cases,473,20,32,113,274,32,3,474
Punjab,2011,Incest cases,6,0,0,2,4,0,0,6
Punjab,2012,Incest cases,4,2,1,0,1,0,0,4
Punjab,2012,Total,680,18,65,212,319,65,1,680
Punjab,2012,Other rape cases,676,16,64,212,318,65,1,676
Rajasthan,2001,Total,1049,16,44,229,606,147,7,1049
Rajasthan,2001,Other rape cases,1031,15,43,222,598,146,7,1031
Rajasthan,2001,Incest cases,18,1,1,7,8,1,0,18
Rajasthan,2002,Incest cases,31,0,3,9,13,5,1,31
Rajasthan,2002,Total,1051,5,8,25,788,220,5,1051
Rajasthan,2002,Other rape cases,1020,5,5,16,775,215,4,1020
Rajasthan,2003,Total,1050,7,11,31,751,243,7,1050
Rajasthan,2003,Incest cases,32,1,0,2,24,5,0,32
Rajasthan,2003,Other rape cases,1018,6,11,29,727,238,7,1018
Rajasthan,2004,Total,1038,10,41,86,645,249,7,1038
Rajasthan,2004,Other rape cases,999,10,35,79,628,240,7,999
Rajasthan,2004,Incest cases,39,0,6,7,17,9,0,39
Rajasthan,2005,Incest cases,33,0,5,10,11,7,0,33
Rajasthan,2005,Other rape cases,960,21,39,171,504,209,16,960
Rajasthan,2005,Total,993,21,44,181,515,216,16,993
Rajasthan,2006,Other rape cases,1043,33,77,185,533,210,5,1043
Rajasthan,2006,Total,1085,34,80,197,555,214,5,1085
Rajasthan,2006,Incest cases,42,1,3,12,22,4,0,42
Rajasthan,2007,Incest cases,42,3,7,13,15,3,1,42
Rajasthan,2007,Total,1238,41,79,286,639,187,8,1240
Rajasthan,2007,Other rape cases,1196,38,72,273,624,184,7,1198
Rajasthan,2008,Total,1355,29,116,275,706,219,10,1355
Rajasthan,2008,Other rape cases,1315,27,110,268,685,215,10,1315
Rajasthan,2008,Incest cases,40,2,6,7,21,4,0,40
Rajasthan,2009,Total,1519,28,55,288,856,289,4,1520
Rajasthan,2009,Other rape cases,1483,26,52,281,836,285,4,1484
Rajasthan,2009,Incest cases,36,2,3,7,20,4,0,36
Rajasthan,2010,Total,1571,37,72,277,805,346,36,1573
Rajasthan,2010,Incest cases,24,2,2,6,10,4,0,24
Rajasthan,2010,Other rape cases,1547,35,70,271,795,342,36,1549
Rajasthan,2011,Total,1800,26,73,295,1052,342,12,1800
Rajasthan,2011,Other rape cases,1757,26,73,288,1027,331,12,1757
Rajasthan,2011,Incest cases,43,0,0,7,25,11,0,43
Rajasthan,2012,Total,2049,36,102,434,1081,389,7,2049
Rajasthan,2012,Other rape cases,2005,36,97,424,1060,381,7,2005
Rajasthan,2012,Incest cases,44,0,5,10,21,8,0,44
Sikkim,2001,Other rape cases,7,0,0,4,2,1,0,7
Sikkim,2001,Total,8,1,0,4,2,1,0,8
Sikkim,2001,Incest cases,1,1,0,0,0,0,0,1
Sikkim,2002,Other rape cases,5,0,1,2,2,0,0,5
Sikkim,2002,Incest cases,1,0,1,0,0,0,0,1
Sikkim,2002,Total,6,0,2,2,2,0,0,6
Sikkim,2003,Total,10,4,4,1,1,0,0,10
Sikkim,2003,Incest cases,0,0,0,0,0,0,0,0
Sikkim,2003,Other rape cases,10,4,4,1,1,0,0,10
Sikkim,2004,Incest cases,0,0,0,0,0,0,0,0
Sikkim,2004,Other rape cases,3,0,1,1,0,2,0,4
Sikkim,2004,Total,3,0,1,1,0,2,0,4
Sikkim,2005,Incest cases,1,0,1,0,0,0,0,1
Sikkim,2005,Total,18,4,5,7,2,2,0,20
Sikkim,2005,Other rape cases,17,4,4,7,2,2,0,19
Sikkim,2006,Other rape cases,20,8,4,5,3,0,0,20
Sikkim,2006,Incest cases,0,0,0,0,0,0,0,0
Sikkim,2006,Total,20,8,4,5,3,0,0,20
Sikkim,2007,Total,24,10,3,5,5,1,0,24
Sikkim,2007,Incest cases,4,3,0,1,0,0,0,4
Sikkim,2007,Other rape cases,20,7,3,4,5,1,0,20
Sikkim,2008,Other rape cases,19,8,3,1,8,0,0,20
Sikkim,2008,Incest cases,1,1,0,0,0,0,0,1
Sikkim,2008,Total,20,9,3,1,8,0,0,21
Sikkim,2009,Incest cases,0,0,0,0,0,0,0,0
Sikkim,2009,Total,18,4,5,5,2,2,0,18
Sikkim,2009,Other rape cases,18,4,5,5,2,2,0,18
Sikkim,2010,Total,18,6,7,2,1,2,0,18
Sikkim,2010,Other rape cases,16,5,6,2,1,2,0,16
Sikkim,2010,Incest cases,2,1,1,0,0,0,0,2
Sikkim,2011,Incest cases,1,0,0,1,0,0,0,1
Sikkim,2011,Total,16,3,3,5,4,0,1,16
Sikkim,2011,Other rape cases,15,3,3,4,4,0,1,15
Sikkim,2012,Other rape cases,34,2,13,13,2,4,0,34
Sikkim,2012,Incest cases,0,0,0,0,0,0,0,0
Sikkim,2012,Total,34,2,13,13,2,4,0,34
Tamil Nadu,2001,Other rape cases,402,6,13,170,179,32,2,402
Tamil Nadu,2001,Incest cases,21,0,2,4,13,2,0,21
Tamil Nadu,2001,Total,423,6,15,174,192,34,2,423
Tamil Nadu,2002,Total,534,15,8,6,465,39,1,534
Tamil Nadu,2002,Incest cases,0,0,0,0,0,0,0,0
Tamil Nadu,2002,Other rape cases,534,15,8,6,465,39,1,534
Tamil Nadu,2003,Incest cases,40,3,7,17,12,1,0,40
Tamil Nadu,2003,Other rape cases,517,9,7,4,348,148,1,517
Tamil Nadu,2003,Total,557,12,14,21,360,149,1,557
Tamil Nadu,2004,Other rape cases,582,34,50,78,388,30,3,583
Tamil Nadu,2004,Incest cases,36,0,0,7,29,0,0,36
Tamil Nadu,2004,Total,618,34,50,85,417,30,3,619
Tamil Nadu,2005,Incest cases,11,1,0,0,8,2,0,11
Tamil Nadu,2005,Other rape cases,560,28,28,58,388,58,0,560
Tamil Nadu,2005,Total,571,29,28,58,396,60,0,571
Tamil Nadu,2006,Total,457,23,34,68,275,55,2,457
Tamil Nadu,2006,Other rape cases,456,23,33,68,275,55,2,456
Tamil Nadu,2006,Incest cases,1,0,1,0,0,0,0,1
Tamil Nadu,2007,Total,523,20,41,89,346,35,1,532
Tamil Nadu,2007,Other rape cases,521,19,41,88,346,35,1,530
Tamil Nadu,2007,Incest cases,2,1,0,1,0,0,0,2
Tamil Nadu,2008,Other rape cases,572,26,29,131,340,46,0,572
Tamil Nadu,2008,Total,573,27,29,131,340,46,0,573
Tamil Nadu,2008,Incest cases,1,1,0,0,0,0,0,1
Tamil Nadu,2009,Total,596,28,34,120,390,22,2,596
Tamil Nadu,2009,Incest cases,4,1,0,3,0,0,0,4
Tamil Nadu,2009,Other rape cases,592,27,34,117,390,22,2,592
Tamil Nadu,2010,Total,686,21,50,139,411,66,0,687
Tamil Nadu,2010,Other rape cases,686,21,50,139,411,66,0,687
Tamil Nadu,2010,Incest cases,0,0,0,0,0,0,0,0
Tamil Nadu,2011,Total,677,45,46,181,365,39,2,678
Tamil Nadu,2011,Incest cases,2,0,0,1,1,0,0,2
Tamil Nadu,2011,Other rape cases,675,45,46,180,364,39,2,676
Tamil Nadu,2012,Other rape cases,733,40,65,185,395,45,4,734
Tamil Nadu,2012,Total,737,41,65,187,396,45,4,738
Tamil Nadu,2012,Incest cases,4,1,0,2,1,0,0,4
Tripura,2001,Incest cases,0,0,0,0,0,0,0,0
Tripura,2001,Other rape cases,102,0,0,50,47,5,0,102
Tripura,2001,Total,102,0,0,50,47,5,0,102
Tripura,2002,Incest cases,0,0,0,0,0,0,0,0
Tripura,2002,Total,108,0,0,0,98,10,0,108
Tripura,2002,Other rape cases,108,0,0,0,98,10,0,108
Tripura,2003,Total,114,0,0,0,102,12,0,114
Tripura,2003,Incest cases,0,0,0,0,0,0,0,0
Tripura,2003,Other rape cases,114,0,0,0,102,12,0,114
Tripura,2004,Other rape cases,159,7,7,13,109,23,0,159
Tripura,2004,Total,160,7,7,14,109,23,0,160
Tripura,2004,Incest cases,1,0,0,1,0,0,0,1
Tripura,2005,Incest cases,0,0,0,0,0,0,0,0
Tripura,2005,Other rape cases,162,3,13,4,129,13,0,162
Tripura,2005,Total,162,3,13,4,129,13,0,162
Tripura,2006,Other rape cases,185,0,4,30,135,17,1,187
Tripura,2006,Incest cases,4,0,0,4,0,0,0,4
Tripura,2006,Total,189,0,4,34,135,17,1,191
Tripura,2007,Total,157,3,14,16,113,11,0,157
Tripura,2007,Other rape cases,157,3,14,16,113,11,0,157
Tripura,2007,Incest cases,0,0,0,0,0,0,0,0
Tripura,2008,Incest cases,0,0,0,0,0,0,0,0
Tripura,2008,Other rape cases,204,16,23,65,96,4,0,204
Tripura,2008,Total,204,16,23,65,96,4,0,204
Tripura,2009,Total,190,10,22,51,79,28,0,190
Tripura,2009,Other rape cases,190,10,22,51,79,28,0,190
Tripura,2009,Incest cases,0,0,0,0,0,0,0,0
Tripura,2010,Total,238,19,27,61,93,38,0,238
Tripura,2010,Other rape cases,238,19,27,61,93,38,0,238
Tripura,2010,Incest cases,0,0,0,0,0,0,0,0
Tripura,2011,Total,205,22,22,1,141,18,1,205
Tripura,2011,Incest cases,1,0,0,1,0,0,0,1
Tripura,2011,Other rape cases,204,22,22,0,141,18,1,204
Tripura,2012,Incest cases,1,1,0,0,0,0,0,1
Tripura,2012,Total,229,13,15,65,114,17,5,229
Tripura,2012,Other rape cases,228,12,15,65,114,17,5,228
Uttar Pradesh,2001,Incest cases,3,0,2,0,1,0,0,3
Uttar Pradesh,2001,Other rape cases,1955,34,120,406,1081,314,0,1955
Uttar Pradesh,2001,Total,1958,34,122,406,1082,314,0,1958
Uttar Pradesh,2002,Total,1415,38,111,271,775,220,0,1415
Uttar Pradesh,2002,Other rape cases,1403,37,110,269,767,220,0,1403
Uttar Pradesh,2002,Incest cases,12,1,1,2,8,0,0,12
Uttar Pradesh,2003,Total,911,33,75,207,477,117,2,911
Uttar Pradesh,2003,Other rape cases,901,32,73,202,475,117,2,901
Uttar Pradesh,2003,Incest cases,10,1,2,5,2,0,0,10
Uttar Pradesh,2004,Other rape cases,1362,53,97,221,829,160,2,1362
Uttar Pradesh,2004,Total,1397,53,99,242,838,163,2,1397
Uttar Pradesh,2004,Incest cases,35,0,2,21,9,3,0,35
Uttar Pradesh,2005,Incest cases,70,0,0,18,52,0,0,70
Uttar Pradesh,2005,Other rape cases,1147,44,103,229,604,162,5,1147
Uttar Pradesh,2005,Total,1217,44,103,247,656,162,5,1217
Uttar Pradesh,2006,Other rape cases,1314,18,56,273,780,184,3,1314
Uttar Pradesh,2006,Total,1314,18,56,273,780,184,3,1314
Uttar Pradesh,2006,Incest cases,0,0,0,0,0,0,0,0
Uttar Pradesh,2007,Incest cases,1,1,0,0,0,0,0,1
Uttar Pradesh,2007,Other rape cases,1647,12,109,349,910,267,0,1647
Uttar Pradesh,2007,Total,1648,13,109,349,910,267,0,1648
Uttar Pradesh,2008,Other rape cases,1870,44,171,685,785,185,0,1870
Uttar Pradesh,2008,Incest cases,1,0,0,0,0,1,0,1
Uttar Pradesh,2008,Total,1871,44,171,685,785,186,0,1871
Uttar Pradesh,2009,Incest cases,2,1,0,1,0,0,0,2
Uttar Pradesh,2009,Other rape cases,1757,42,416,165,911,223,0,1757
Uttar Pradesh,2009,Total,1759,43,416,166,911,223,0,1759
Uttar Pradesh,2010,Incest cases,4,0,1,2,1,0,0,4
Uttar Pradesh,2010,Other rape cases,1559,43,161,244,861,250,0,1559
Uttar Pradesh,2010,Total,1563,43,162,246,862,250,0,1563
Uttar Pradesh,2011,Other rape cases,2040,150,305,632,815,138,0,2040
Uttar Pradesh,2011,Incest cases,2,0,0,1,1,0,0,2
Uttar Pradesh,2011,Total,2042,150,305,633,816,138,0,2042
Uttar Pradesh,2012,Incest cases,12,0,7,5,0,0,0,12
Uttar Pradesh,2012,Other rape cases,1951,182,315,531,739,182,2,1951
Uttar Pradesh,2012,Total,1963,182,322,536,739,182,2,1963
Uttarakhand,2001,Incest cases,0,0,0,0,0,0,0,0
Uttarakhand,2001,Total,74,6,7,16,38,7,0,74
Uttarakhand,2001,Other rape cases,74,6,7,16,38,7,0,74
Uttarakhand,2002,Other rape cases,73,0,0,0,60,13,0,73
Uttarakhand,2002,Incest cases,16,2,4,2,6,2,0,16
Uttarakhand,2002,Total,89,2,4,2,66,15,0,89
Uttarakhand,2003,Incest cases,2,0,0,0,2,0,0,2
Uttarakhand,2003,Other rape cases,105,1,4,6,81,13,0,105
Uttarakhand,2003,Total,107,1,4,6,83,13,0,107
Uttarakhand,2004,Total,115,2,6,9,72,26,0,115
Uttarakhand,2004,Other rape cases,102,2,6,8,64,22,0,102
Uttarakhand,2004,Incest cases,13,0,0,1,8,4,0,13
Uttarakhand,2005,Incest cases,3,0,0,0,2,1,0,3
Uttarakhand,2005,Other rape cases,130,3,3,12,93,19,0,130
Uttarakhand,2005,Total,133,3,3,12,95,20,0,133
Uttarakhand,2006,Total,147,1,7,15,106,18,0,147
Uttarakhand,2006,Incest cases,6,0,3,0,2,1,0,6
Uttarakhand,2006,Other rape cases,141,1,4,15,104,17,0,141
Uttarakhand,2007,Total,117,1,9,7,74,26,0,117
Uttarakhand,2007,Other rape cases,109,1,7,3,72,26,0,109
Uttarakhand,2007,Incest cases,8,0,2,4,2,0,0,8
Uttarakhand,2008,Other rape cases,81,0,2,4,62,13,0,81
Uttarakhand,2008,Incest cases,6,0,2,1,2,1,0,6
Uttarakhand,2008,Total,87,0,4,5,64,14,0,87
Uttarakhand,2009,Incest cases,6,0,3,1,2,0,0,6
Uttarakhand,2009,Total,111,1,3,3,89,15,0,111
Uttarakhand,2009,Other rape cases,105,1,0,2,87,15,0,105
Uttarakhand,2010,Total,121,2,3,5,92,19,0,121
Uttarakhand,2010,Other rape cases,110,1,1,3,87,18,0,110
Uttarakhand,2010,Incest cases,11,1,2,2,5,1,0,11
Uttarakhand,2011,Other rape cases,125,1,6,12,83,23,0,125
Uttarakhand,2011,Total,129,1,9,13,83,23,0,129
Uttarakhand,2011,Incest cases,4,0,3,1,0,0,0,4
Uttarakhand,2012,Other rape cases,134,3,4,13,107,7,0,134
Uttarakhand,2012,Total,148,10,11,13,107,7,0,148
Uttarakhand,2012,Incest cases,14,7,7,0,0,0,0,14
West Bengal,2001,Total,709,4,3,5,594,103,0,709
West Bengal,2001,Other rape cases,709,4,3,5,594,103,0,709
West Bengal,2001,Incest cases,0,0,0,0,0,0,0,0
